1000
5
0;28326;8942;
0;28830;9110;
0;29088;9196;
10000
5
8659;385080;123360;
12667;390345;125115;
0;390840;125280;
25000
5
16771;1052274;338258;
19658;1076442;346314;
16544;1058202;340234;
50000
5
31530;2250576;725192;
33456;2247891;724297;
16428;2301933;742311;
75000
5
50274;3583335;1156945;
49231;3492627;1126709;
112865;3556743;1148081;
100000
5
79923;4875084;1575028;
64110;4798971;1549657;
57224;4890135;1580045;
125000
5
83456;6122565;1978355;
83236;6220917;2011139;
83375;6104970;1972490;
150000
5
102734;7587252;2454084;
110088;7547505;2440835;
111648;7438158;2404386;
175000
5
119549;8771556;2836352;
130820;8820120;2852540;
116801;8852508;2863336;
200000
5
130837;10202448;3300816;
133297;10269300;3323100;
134062;10377969;3359323;
2000000
5
1676736;122736270;39912090;
1657485;124460283;40486761;
1632436;121898514;39632838;
